variable,freq,1,05,01,005,001,0005,0001,00005,00001,000005,000001
FLNS,monthly,0,0,0,0,0,0,53,4,0,3,0
FLNT,monthly,0,0,0,0,0,0,0,7,14,9,30
FSNS,monthly,0,0,0,0,0,0,1,18,32,9,0
FSNT,monthly,0,0,0,0,0,0,18,16,15,6,5
LHFLX,monthly,0,0,0,0,0,0,0,0,28,20,12
PRECC,monthly,0,0,0,0,0,0,0,0,47,12,1
PRECL,monthly,0,0,0,0,0,0,0,0,2,24,34
PS,monthly,0,0,0,0,0,0,0,0,0,9,51
QFLX,monthly,0,0,0,0,0,0,0,0,29,25,6
SHFLX,monthly,0,0,0,0,0,0,0,0,40,17,3
TMQ,monthly,0,0,0,0,0,0,0,0,16,31,13
TS,monthly,0,0,0,0,0,0,0,0,0,0,60
