variable,level,size
CCN3,orig,272506698
CCN3,bg_2,50432531
CCN3,bg_3,101794564
CCN3,bg_4,141464593
CCN3,bg_5,183860488
CCN3,bg_6,227570119
CCN3,bg_7,272508442
CLOUD,orig,219526652
CLOUD,bg_2,62556524
CLOUD,bg_3,101503738
CLOUD,bg_4,130707070
CLOUD,bg_5,157842987
CLOUD,bg_6,188401248
CLOUD,bg_7,219528396
FLNS,orig,9935522
FLNS,bg_2,2314430
FLNS,bg_3,4673337
FLNS,bg_4,5798915
FLNS,bg_5,6956202
FLNS,bg_6,8703751
FLNS,bg_7,9937424
FLNT,orig,8615109
FLNT,bg_2,926686
FLNT,bg_3,2243685
FLNT,bg_4,4006109
FLNT,bg_5,5118950
FLNT,bg_6,6669839
FLNT,bg_7,8617011
FSNS,orig,9305218
FSNS,bg_2,1940504
FSNS,bg_3,3758156
FSNS,bg_4,5195413
FSNS,bg_5,6346211
FSNS,bg_6,7816452
FSNS,bg_7,9307120
FSNT,orig,8880854
FSNT,bg_2,1569737
FSNT,bg_3,3385793
FSNT,bg_4,4835245
FSNT,bg_5,5890220
FSNT,bg_6,7363530
FSNT,bg_7,8882756
LHFLX,orig,10456229
LHFLX,bg_2,2916260
LHFLX,bg_3,4798724
LHFLX,bg_4,6181984
LHFLX,bg_5,7625804
LHFLX,bg_6,9029672
LHFLX,bg_7,10458140
PRECC,orig,8341117
PRECC,bg_2,2853784
PRECC,bg_3,4284404
PRECC,bg_4,5170803
PRECC,bg_5,6395090
PRECC,bg_6,7422895
PRECC,bg_7,8343028
PRECL,orig,10652395
PRECL,bg_2,3423809
PRECL,bg_3,5281740
PRECL,bg_4,6504196
PRECL,bg_5,7964296
PRECL,bg_6,9340044
PRECL,bg_7,10654306
PS,orig,7570501
PS,bg_2,992375
PS,bg_3,1968074
PS,bg_4,2991275
PS,bg_5,4402439
PS,bg_6,6015781
PS,bg_7,7572412
QFLX,orig,10426965
QFLX,bg_2,2959030
QFLX,bg_3,5006601
QFLX,bg_4,6201333
QFLX,bg_5,7643077
QFLX,bg_6,9066599
QFLX,bg_7,10428876
SHFLX,orig,10615810
SHFLX,bg_2,3071054
SHFLX,bg_3,5056542
SHFLX,bg_4,6288906
SHFLX,bg_5,7850432
SHFLX,bg_6,9217610
SHFLX,bg_7,10617721
TMQ,orig,9418237
TMQ,bg_2,1823198
TMQ,bg_3,3838703
TMQ,bg_4,5075429
TMQ,bg_5,6415618
TMQ,bg_6,7997081
TMQ,bg_7,9420148
TS,orig,7697245
TS,bg_2,546337
TS,bg_3,1620319
TS,bg_4,3086529
TS,bg_5,4348976
TS,bg_6,5887951
TS,bg_7,7699156
U,orig,287271956
U,bg_2,65729718
U,bg_3,119382638
U,bg_4,156415216
U,bg_5,201549493
U,bg_6,244203335
U,bg_7,287273700
CCN3,orig,272506698
CCN3,zfp_p_8,39133517
CCN3,zfp_p_10,78566554
CCN3,zfp_p_12,105224731
CCN3,zfp_p_14,129129323
CCN3,zfp_p_16,167881873
CCN3,zfp_p_18,184604775
CCN3,zfp_p_20,206839836
CCN3,zfp_p_22,228557323
CCN3,zfp_p_24,268556488
CLOUD,orig,219526652
CLOUD,zfp_p_8,63690578
CLOUD,zfp_p_10,91208621
CLOUD,zfp_p_12,106716738
CLOUD,zfp_p_14,124053845
CLOUD,zfp_p_16,146400063
CLOUD,zfp_p_18,161231938
CLOUD,zfp_p_20,176099690
CLOUD,zfp_p_22,193437568
CLOUD,zfp_p_24,215818835
FLNS,orig,9935522
FLNS,zfp_p_8,2134766
FLNS,zfp_p_10,3731468
FLNS,zfp_p_12,4530109
FLNS,zfp_p_14,5288668
FLNS,zfp_p_16,6563960
FLNS,zfp_p_18,7116503
FLNS,zfp_p_20,7843193
FLNS,zfp_p_22,8603674
FLNS,zfp_p_24,9880175
FLNT,orig,8615109
FLNT,zfp_p_8,766809
FLNT,zfp_p_10,1960701
FLNT,zfp_p_12,2988333
FLNT,zfp_p_14,3742397
FLNT,zfp_p_16,5132482
FLNT,zfp_p_18,5594711
FLNT,zfp_p_20,6354737
FLNT,zfp_p_22,7052452
FLNT,zfp_p_24,8457994
FSNS,orig,9305218
FSNS,zfp_p_8,1991098
FSNS,zfp_p_10,3479083
FSNS,zfp_p_12,4220578
FSNS,zfp_p_14,4939332
FSNS,zfp_p_16,6133182
FSNS,zfp_p_18,6639133
FSNS,zfp_p_20,7329699
FSNS,zfp_p_22,8045228
FSNS,zfp_p_24,9239721
FSNT,orig,8880854
FSNT,zfp_p_8,1406830
FSNT,zfp_p_10,2966710
FSNT,zfp_p_12,3776272
FSNT,zfp_p_14,4469702
FSNT,zfp_p_16,5721123
FSNT,zfp_p_18,6181806
FSNT,zfp_p_20,6889440
FSNT,zfp_p_22,7577129
FSNT,zfp_p_24,8830638
LHFLX,orig,10456229
LHFLX,zfp_p_8,2774713
LHFLX,zfp_p_10,4196640
LHFLX,zfp_p_12,5013908
LHFLX,zfp_p_14,5823596
LHFLX,zfp_p_16,6947381
LHFLX,zfp_p_18,7612994
LHFLX,zfp_p_20,8330404
LHFLX,zfp_p_22,9138724
LHFLX,zfp_p_24,10264275
PRECC,orig,8341117
PRECC,zfp_p_8,2868896
PRECC,zfp_p_10,3713623
PRECC,zfp_p_12,4251108
PRECC,zfp_p_14,4912573
PRECC,zfp_p_16,5620148
PRECC,zfp_p_18,6227763
PRECC,zfp_p_20,6760604
PRECC,zfp_p_22,7421156
PRECC,zfp_p_24,8130028
PRECL,orig,10652395
PRECL,zfp_p_8,3372495
PRECL,zfp_p_10,4549012
PRECL,zfp_p_12,5244357
PRECL,zfp_p_14,6102204
PRECL,zfp_p_16,7114415
PRECL,zfp_p_18,7860327
PRECL,zfp_p_20,8547571
PRECL,zfp_p_22,9410615
PRECL,zfp_p_24,10427495
PS,orig,7570501
PS,zfp_p_8,493595
PS,zfp_p_10,1094898
PS,zfp_p_12,1742874
PS,zfp_p_14,2372175
PS,zfp_p_16,3321861
PS,zfp_p_18,4396308
PS,zfp_p_20,5271510
PS,zfp_p_22,5958370
PS,zfp_p_24,7384777
QFLX,orig,10426965
QFLX,zfp_p_8,2757827
QFLX,zfp_p_10,4180233
QFLX,zfp_p_12,4997558
QFLX,zfp_p_14,5807509
QFLX,zfp_p_16,6932955
QFLX,zfp_p_18,7596658
QFLX,zfp_p_20,8313644
QFLX,zfp_p_22,9120770
QFLX,zfp_p_24,10252122
SHFLX,orig,10615810
SHFLX,zfp_p_8,3039323
SHFLX,zfp_p_10,4422287
SHFLX,zfp_p_12,5187054
SHFLX,zfp_p_14,6009918
SHFLX,zfp_p_16,7086680
SHFLX,zfp_p_18,7786306
SHFLX,zfp_p_20,8501471
SHFLX,zfp_p_22,9322536
SHFLX,zfp_p_24,10404781
TMQ,orig,9418237
TMQ,zfp_p_8,1435043
TMQ,zfp_p_10,2853445
TMQ,zfp_p_12,3844422
TMQ,zfp_p_14,4613010
TMQ,zfp_p_16,5929717
TMQ,zfp_p_18,6429309
TMQ,zfp_p_20,7165406
TMQ,zfp_p_22,7891038
TMQ,zfp_p_24,9228149
TS,orig,7697245
TS,zfp_p_8,336543
TS,zfp_p_10,868684
TS,zfp_p_12,1665148
TS,zfp_p_14,2431558
TS,zfp_p_16,3603384
TS,zfp_p_18,4533953
TS,zfp_p_20,5328253
TS,zfp_p_22,6005972
TS,zfp_p_24,7448043
U,orig,287271956
U,zfp_p_8,50210329
U,zfp_p_10,91499091
U,zfp_p_12,119508143
U,zfp_p_14,144543471
U,zfp_p_16,180758533
U,zfp_p_18,199387709
U,zfp_p_20,221458235
U,zfp_p_22,244566928
U,zfp_p_24,281664235
CCN3,orig,272506698
CCN3,zfp_p_8,39133517
CCN3,zfp_p_10,78566554
CCN3,zfp_p_12,105224731
CCN3,zfp_p_14,129129323
CCN3,zfp_p_16,167881873
CCN3,zfp_p_18,184604775
CCN3,zfp_p_20,206839836
CCN3,zfp_p_22,228557323
CCN3,zfp_p_24,268556488
CLOUD,orig,219526652
CLOUD,zfp_p_8,63690578
CLOUD,zfp_p_10,91208621
CLOUD,zfp_p_12,106716738
CLOUD,zfp_p_14,124053845
CLOUD,zfp_p_16,146400063
CLOUD,zfp_p_18,161231938
CLOUD,zfp_p_20,176099690
CLOUD,zfp_p_22,193437568
CLOUD,zfp_p_24,215818835
FLNS,orig,9935522
FLNS,zfp_p_8,2134766
FLNS,zfp_p_10,3731468
FLNS,zfp_p_12,4530109
FLNS,zfp_p_14,5288668
FLNS,zfp_p_16,6563960
FLNS,zfp_p_18,7116503
FLNS,zfp_p_20,7843193
FLNS,zfp_p_22,8603674
FLNS,zfp_p_24,9880175
FLNT,orig,8615109
FLNT,zfp_p_8,766809
FLNT,zfp_p_10,1960701
FLNT,zfp_p_12,2988333
FLNT,zfp_p_14,3742397
FLNT,zfp_p_16,5132482
FLNT,zfp_p_18,5594711
FLNT,zfp_p_20,6354737
FLNT,zfp_p_22,7052452
