levels,algs,ratios,variable,times
0.005,sz,21.79,soa_a2_SRF,0
0.01,sz,29.55,soa_a2_SRF,1
0.005,sz,21.79,soa_a2_SRF,2
0.005,sz,21.79,soa_a2_SRF,3
0.01,sz,29.55,soa_a2_SRF,4
0.005,sz,21.79,soa_a2_SRF,5
0.01,sz,29.55,soa_a2_SRF,6
0.005,sz,21.79,soa_a2_SRF,7
0.001,sz,11.14,soa_a2_SRF,8
0.005,sz,21.79,soa_a2_SRF,9
0.005,sz,21.79,soa_a2_SRF,10
0.001,sz,11.14,soa_a2_SRF,11
0.01,sz,29.55,soa_a2_SRF,12
0.005,sz,21.79,soa_a2_SRF,13
0.005,sz,21.79,soa_a2_SRF,14
0.005,sz,21.79,soa_a2_SRF,15
0.005,sz,21.79,soa_a2_SRF,16
0.005,sz,21.79,soa_a2_SRF,17
0.005,sz,21.79,soa_a2_SRF,18
0.005,sz,21.79,soa_a2_SRF,19
0.005,sz,21.79,soa_a2_SRF,20
0.001,sz,11.14,soa_a2_SRF,21
0.001,sz,11.14,soa_a2_SRF,22
0.005,sz,21.79,soa_a2_SRF,23
0.001,sz,11.14,soa_a2_SRF,24
0.001,sz,11.14,soa_a2_SRF,25
0.005,sz,21.79,soa_a2_SRF,26
0.005,sz,21.79,soa_a2_SRF,27
0.005,sz,21.79,soa_a2_SRF,28
0.005,sz,21.79,soa_a2_SRF,29
0.0001,sz,4.86,soa_a2_SRF,30
0.005,sz,21.79,soa_a2_SRF,31
0.005,sz,21.79,soa_a2_SRF,32
0.0001,sz,4.86,soa_a2_SRF,33
0.001,sz,11.14,soa_a2_SRF,34
0.0001,sz,4.86,soa_a2_SRF,35
0.001,sz,11.14,soa_a2_SRF,36
0.005,sz,21.79,soa_a2_SRF,37
0.005,sz,21.79,soa_a2_SRF,38
0.001,sz,11.14,soa_a2_SRF,39
0.005,sz,21.79,soa_a2_SRF,40
0.005,sz,21.79,soa_a2_SRF,41
0.005,sz,21.79,soa_a2_SRF,42
0.005,sz,21.79,soa_a2_SRF,43
